Taxable Year,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Latitude,Longitude,New Georeferenced Column
2018,Riverside,"2,420,714","970,466","56,781,365,151","36,529",36,"362,343","72,400",31,"1,908,686,592",33.7775741,-115.4706931,POINT (-115.4706931 33.7775741)
2017,Colusa,"22,632","9,402","505,802,000","35,431",34,"3,921","56,016",49,"18,820,000",39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
2018,Sierra,"3,136","1,115","64,056,324","40,164",25,523,"64,078",41,"2,224,034",39.56316056,-120.7739513,POINT (-120.7739513 39.56316056)
2018,Madera,"158,511","56,643","2,860,856,134","32,356",52,"22,483","58,187",50,"88,018,654",37.09637123,-119.8904305,POINT (-119.8904305 37.09637123)
2019,Siskiyou,"43,792","18,541","885,995,000","32,184",54,"7,461","58,479",54,"26,829,000",41.40245364,-123.1750119,POINT (-123.1750119 41.40245364)
2018,Amador,"38,146","16,325","1,031,896,983","43,159",20,"7,615","74,280",29,"37,379,311",38.47216216,-120.5741948,POINT (-120.5741948 38.47216216)
2017,San Mateo,"771,902","386,716","71,822,550,000","64,139",2,"152,355","143,039",3,"5,901,201,000",37.43944139,-122.3344603,POINT (-122.3344603 37.43944139)
2019,Lake,"63,771","24,963","1,215,623,000","33,280",48,"9,018","59,637",50,"34,709,000",39.06500481,-122.6570192,POINT (-122.6570192 39.06500481)
2017,Glenn,"29,205","11,751","575,332,000","33,335",45,"4,905","56,544",48,"17,482,000",39.59028676,-122.0780968,POINT (-122.0780968 39.59028676)
2017,Nonresident,,"756,843","32,798,066,000","14,600",,"371,420","20,592",,"3,713,047,000",0,0,POINT (0 0)
2019,Sacramento,"1,562,242","708,439","48,008,021,000","42,776",22,"241,429","86,250",19,"1,952,626,000",38.1923781,-121.6020643,POINT (-121.6020643 38.1923781)
2018,Stanislaus,"554,616","223,599","12,962,858,121","37,135",33,"85,168","68,951",36,"465,102,420",37.50148783,-121.2164803,POINT (-121.2164803 37.50148783)
2018,Del Norte,"27,419","9,098","450,228,880","33,785",45,"3,572","63,116",43,"12,519,117",41.70557047,-123.8920045,POINT (-123.8920045 41.70557047)
2018,Imperial,"188,948","71,075","3,125,218,054","27,225",58,"27,486","44,565",58,"84,118,086",33.07729374,-114.7515356,POINT (-114.7515356 33.07729374)
2019,Imperial,"188,090","76,366","3,357,365,000","26,740",58,"27,990","44,444",58,"90,941,000",33.07729374,-114.7515356,POINT (-114.7515356 33.07729374)
2018,Contra Costa,"1,147,327","504,017","56,590,780,658","55,689",7,"199,464","116,912",6,"3,377,107,084",37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
2017,Trinity,"13,453","4,164","217,884,000","31,154",54,"1,788","51,116",57,"8,935,000",40.84092907,-122.972844,POINT (-122.972844 40.84092907)
2019,Santa Clara,"1,962,251","932,940","159,678,281,000","70,969",3,"369,668","164,794",2,"11,515,415,000",37.23423826,-121.7317226,POINT (-121.7317226 37.23423826)
2017,Mendocino,"89,071","36,747","1,964,288,000","33,617",42,"13,733","59,985",44,"72,061,000",39.31034149,-123.6517776,POINT (-123.6517776 39.31034149)
2018,Santa Clara,"1,955,946","919,180","153,525,718,635","67,012",3,"364,993","153,096",2,"11,385,997,115",37.23423826,-121.7317226,POINT (-121.7317226 37.23423826)
2018,Monterey,"444,252","181,503","12,887,545,034","39,184",28,"62,995","74,309",28,"593,788,587",36.32470669,-121.2968358,POINT (-121.2968358 36.32470669)
2018,San Francisco,"886,618","476,921","81,884,509,966","67,265",2,"128,858","131,216",4,"6,641,582,155",37.7577,-122.4376,POINT (-122.4376 37.7577)
2019,Butte,"206,362","86,956","5,263,286,000","35,746",39,"30,707","76,537",30,"202,660,000",39.59127291,-121.6728818,POINT (-121.6728818 39.59127291)
2018,Ventura,"855,713","391,203","32,973,598,624","44,622",16,"152,075","95,285",14,"1,697,001,855",34.27709072,-119.2178496,POINT (-119.2178496 34.27709072)
2018,Napa,"140,573","66,243","6,493,370,481","49,678",9,"25,874","96,410",11,"383,146,206",38.45938161,-122.3328556,POINT (-122.3328556 38.45938161)
2018,Trinity,"13,385","4,168","195,093,155","31,216",56,"1,727","53,244",56,"6,855,632",40.84092907,-122.972844,POINT (-122.972844 40.84092907)
2017,El Dorado,"186,556","85,299","7,546,844,000","49,180",8,"40,261","97,346",8,"370,861,000",38.76394197,-120.6060593,POINT (-120.6060593 38.76394197)
2019,Unallocated,,479,"18,618,000","21,500",,105,"43,957",,"855,000",0,0,POINT (0 0)
2017,Mariposa,"17,992","6,625","348,422,000","35,162",38,"2,862","61,499",42,"11,107,000",37.72289349,-119.9767358,POINT (-119.9767358 37.72289349)
2019,Glenn,"29,507","12,499","589,963,000","35,384",41,"5,207","59,648",49,"18,643,000",39.59028676,-122.0780968,POINT (-122.0780968 39.59028676)
2018,Mendocino,"88,875","37,661","2,030,657,991","34,334",44,"13,564","62,548",44,"74,332,633",39.31034149,-123.6517776,POINT (-123.6517776 39.31034149)
2017,Tehama,"64,407","20,706","980,024,000","31,440",52,"8,579","53,882",53,"29,940,000",40.25506437,-122.2937715,POINT (-122.2937715 40.25506437)
2018,Yolo,"222,054","89,957","6,988,604,663","44,264",18,"34,189","97,176",9,"318,403,040",38.68382688,-121.9127421,POINT (-121.9127421 38.68382688)
2019,Mono,"13,447","5,895","401,392,000","38,107",32,"1,942","83,282",21,"18,791,000",38.34709997,-119.3327269,POINT (-119.3327269 38.34709997)
2018,San Bernardino,"2,178,940","881,293","49,104,644,374","34,892",41,"301,558","69,069",34,"1,608,903,402",34.52258599,-115.5372574,POINT (-115.5372574 34.52258599)
2017,Calaveras,"44,656","18,881","1,175,616,000","40,979",21,"8,999","70,746",28,"44,102,000",38.25462698,-120.4657376,POINT (-120.4657376 38.25462698)
2018,Sonoma,"500,499","236,070","20,032,919,687","48,240",10,"87,007","96,497",10,"1,039,091,751",38.49367199,-122.9302632,POINT (-122.9302632 38.49367199)
2019,Sutter,"101,160","41,368","2,305,644,000","35,550",40,"16,764","63,218",47,"75,478,000",39.01131111,-121.7233341,POINT (-121.7233341 39.01131111)
2017,San Benito,"60,291","26,854","1,873,789,000","44,197",13,"10,658","88,352",17,"73,864,000",36.50024907,-121.0915105,POINT (-121.0915105 36.50024907)
2019,Marin,"258,956","127,170","26,053,794,000","74,077",1,"51,525","178,755",1,"2,057,840,000",38.03952573,-122.7299513,POINT (-122.7299513 38.03952573)
2017,Sierra,"3,149","1,097","58,065,000","37,583",27,514,"62,394",40,"1,690,000",39.56316056,-120.7739513,POINT (-120.7739513 39.56316056)
2019,Kings,"154,745","51,392","2,648,373,000","34,797",44,"19,051","64,099",46,"78,665,000",36.01947119,-120.0181641,POINT (-120.0181641 36.01947119)
2019,San Bernardino,"2,184,112","923,492","51,581,628,000","35,128",43,"305,665","71,470",34,"1,638,154,000",34.52258599,-115.5372574,POINT (-115.5372574 34.52258599)
2017,Mono,"13,846","5,605","371,385,000","37,292",29,"1,991","76,874",23,"17,778,000",38.34709997,-119.3327269,POINT (-119.3327269 38.34709997)
2019,San Mateo,"775,132","395,572","85,097,939,000","70,367",4,"151,843","159,894",3,"6,926,526,000",37.43944139,-122.3344603,POINT (-122.3344603 37.43944139)
2018,Los Angeles,"10,269,935","4,516,237","331,342,689,250","37,379",31,"1,356,288","76,115",25,"20,645,822,353",34.0594833,-118.242048,POINT (-118.242048 34.0594833)
2017,Orange,"3,205,855","1,450,169","132,787,850,000","42,902",15,"555,648","92,865",9,"7,642,275,000",33.66073433,-117.9361373,POINT (-117.9361373 33.66073433)
2019,Orange,"3,190,832","1,519,470","149,039,198,000","45,719",14,"563,237","100,491",10,"8,618,867,000",33.66073433,-117.9361373,POINT (-117.9361373 33.66073433)
2019,Colusa,"22,075","9,954","554,106,000","36,482",35,"4,070","60,147",48,"20,413,000",39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
2017,Unallocated,,"35,676","6,413,177,000","46,640",,"15,353","94,440",,"554,348,000",0,0,POINT (0 0)
2018,Resident Out-of-State,,"148,044","18,398,491,281","35,030",,"42,855","67,289",,"1,491,869,757",0,0,POINT (0 0)
2017,Kings,"150,992","48,303","2,302,295,000","32,599",47,"18,297","57,422",47,"66,112,000",36.01947119,-120.0181641,POINT (-120.0181641 36.01947119)
2019,Sierra,"3,117","1,146","64,765,000","41,265",26,496,"70,560",36,"1,981,000",39.56316056,-120.7739513,POINT (-120.7739513 39.56316056)
2018,El Dorado,"189,360","87,825","8,250,430,479","51,008",8,"41,003","102,347",8,"424,261,966",38.76394197,-120.6060593,POINT (-120.6060593 38.76394197)
2017,San Joaquin,"749,810","298,775","17,225,752,000","37,102",31,"113,074","71,754",27,"611,617,000",37.933703,-121.3444014,POINT (-121.3444014 37.933703)
2018,Inyo,"18,522","8,408","506,657,172","39,341",27,"3,260","77,541",24,"18,246,051",36.63350255,-118.2559592,POINT (-118.2559592 36.63350255)
2017,Santa Barbara,"450,138","190,062","15,046,416,000","39,357",24,"69,217","77,868",21,"837,215,000",34.42119106,-119.6988197,POINT (-119.6988197 34.42119106)
2017,Ventura,"854,987","385,071","31,446,593,000","42,779",16,"151,356","91,000",14,"1,570,075,000",34.27709072,-119.2178496,POINT (-119.2178496 34.27709072)
2019,Madera,"158,794","59,258","3,080,470,000","32,927",51,"22,851","59,328",51,"101,816,000",37.09637123,-119.8904305,POINT (-119.8904305 37.09637123)
2018,Santa Cruz,"275,168","128,314","11,490,106,643","44,750",15,"46,297","96,362",12,"625,034,638",37.02159755,-121.9471295,POINT (-121.9471295 37.02159755)
2018,San Joaquin,"760,310","309,672","16,746,479,329","38,685",29,"115,111","75,481",27,"686,196,918",37.933703,-121.3444014,POINT (-121.3444014 37.933703)
2017,Monterey,"442,196","178,846","12,041,179,000","37,118",30,"62,805","70,500",29,"535,094,000",36.32470669,-121.2968358,POINT (-121.2968358 36.32470669)
2019,Stanislaus,"555,955","232,495","13,533,737,000","36,697",34,"85,800","70,305",37,"478,166,000",37.50148783,-121.2164803,POINT (-121.2164803 37.50148783)
2018,Alpine,"1,134",413,"27,576,337","34,602",43,155,"90,344",17,"1,231,875",38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
2017,Humboldt,"135,865","52,847","2,828,142,000","33,101",46,"18,397","66,860",35,"100,650,000",40.86148517,-123.8585124,POINT (-123.8585124 40.86148517)
2018,Merced,"279,433","102,688","4,751,540,930","32,470",51,"37,841","56,706",52,"134,132,314",37.1324242,-120.7167521,POINT (-120.7167521 37.1324242)
2019,Amador,"37,577","16,782","1,082,676,000","44,292",18,"7,619","76,757",29,"38,485,000",38.47216216,-120.5741948,POINT (-120.5741948 38.47216216)
2018,Nevada,"98,626","44,863","3,316,127,622","41,533",23,"19,359","79,293",22,"154,380,036",39.29548859,-120.9008733,POINT (-120.9008733 39.29548859)
2019,Riverside,"2,449,299","1,021,941","60,423,300,000","36,421",36,"365,260","75,016",32,"2,011,927,000",33.7775741,-115.4706931,POINT (-115.4706931 33.7775741)
2019,Contra Costa,"1,149,800","515,607","59,385,687,000","57,409",7,"201,214","122,292",6,"3,550,032,000",37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
2017,Lake,"64,930","23,204","1,103,024,000","31,725",50,"8,895","54,172",51,"33,136,000",39.06500481,-122.6570192,POINT (-122.6570192 39.06500481)
2018,Tulare,"475,781","171,569","8,237,584,622","30,414",57,"61,557","55,716",55,"266,473,005",36.28254312,-118.2652098,POINT (-118.2652098 36.28254312)
2018,Yuba,"77,426","28,272","1,415,396,319","34,903",40,"11,478","61,259",45,"36,885,966",39.27129476,-121.3793557,POINT (-121.3793557 39.27129476)
2018,Colusa,"22,260","9,645","662,643,834","36,818",34,"3,975","60,084",47,"33,055,472",39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
2018,Plumas,"18,702","7,876","437,104,184","38,411",30,"3,509","64,568",40,"14,057,003",40.00510655,-121.0077457,POINT (-121.0077457 40.00510655)
2019,Humboldt,"132,706","56,590","3,040,697,000","33,642",47,"18,462","70,814",35,"104,785,000",40.86148517,-123.8585124,POINT (-123.8585124 40.86148517)
2018,Tehama,"64,703","21,611","1,111,567,446","32,195",53,"8,633","56,690",53,"40,084,418",40.25506437,-122.2937715,POINT (-122.2937715 40.25506437)
2018,Mariposa,"17,904","6,614","356,266,504","36,600",35,"2,779","63,411",42,"11,415,403",37.72289349,-119.9767358,POINT (-119.9767358 37.72289349)
2017,Siskiyou,"44,240","17,628","818,221,000","31,879",48,"7,532","54,622",50,"24,704,000",41.40245364,-123.1750119,POINT (-123.1750119 41.40245364)
