,county,n_enrolled,n_testtaker,avg_read,avg_eng,avg_math,avg_sci,composite,population,med_income,latitude,longitude
40,Santa Cruz,8970.0,1701.0,24.2,23.266666666666666,22.866666666666667,23.0,23.333333333333336,273698.0,44206.0,37.02159755,-121.9471295
41,Shasta,5913.0,516.0,25.5,23.375,23.625,24.0,24.125,178057.0,36003.666666666664,40.53502155,-122.5021643
42,Siskiyou,1264.0,285.0,21.333333333333332,20.166666666666668,20.666666666666668,20.5,20.666666666666668,44053.333333333336,32050.666666666668,41.40245364,-123.1750119
43,Solano,13541.0,1308.0,23.125,22.125,21.9375,22.1875,22.34375,439202.3333333333,47294.666666666664,38.17681839,-122.0352986
44,Sonoma,15248.0,2511.0,23.956521739130434,23.08695652173913,22.652173913043477,22.652173913043477,23.086956521739125,498422.3333333333,48300.666666666664,38.49367199,-122.9302632
45,Stanislaus,24298.0,2259.0,22.526315789473685,21.36842105263158,21.42105263157895,21.31578947368421,21.657894736842103,553692.0,36409.333333333336,37.50148783,-121.2164803
46,Sutter,5097.0,588.0,22.5,21.375,22.0,22.0,21.96875,100279.66666666667,35160.0,39.01131111,-121.7233341
47,Tehama,1888.0,906.0,18.428571428571427,17.428571428571427,18.428571428571427,18.142857142857142,18.107142857142854,64792.0,32182.333333333332,40.25506437,-122.2937715
48,Trinity,338.0,45.0,24.0,24.0,23.0,23.0,23.5,13376.333333333334,31220.666666666668,40.84092907,-122.972844
49,Tulare,21283.0,2853.0,19.92,18.56,19.16,19.64,19.32,476328.3333333333,30138.666666666668,36.28254312,-118.2652098
50,Tuolumne,1272.0,69.0,26.0,23.0,23.0,23.0,23.75,52686.0,38902.0,37.96385957,-119.8920735
51,Ventura,31337.0,4656.0,24.258064516129032,23.580645161290324,23.129032258064516,23.161290322580644,23.532258064516128,850713.0,44129.0,34.27709072,-119.2178496
52,Yolo,6415.0,1065.0,22.5,21.5,22.0,22.125,22.03125,221176.66666666666,43672.333333333336,38.68382688,-121.9127421
53,Yuba,2439.0,192.0,21.333333333333332,19.166666666666668,20.0,20.166666666666668,20.166666666666668,77760.66666666667,34895.333333333336,39.27129476,-121.3793557
